bin,n,rate,center,lo,hi
"(-1.075, -0.358]",255,0.3411764705882353,-0.49702999219956717,0.2857274422291627,0.40133986070823224
"(-0.358, -0.234]",255,0.35294117647058826,-0.29016899525052936,0.29686421094377835,0.4133832917760317
"(-0.234, -0.139]",255,0.47058823529411764,-0.18804207207767976,0.4102157938482355,0.5318337066957265
"(-0.139, -0.0666]",254,0.4251968503937008,-0.10376317931620954,0.3659570467639349,0.4866656487204244
"(-0.0666, 0.0]",255,0.5176470588235295,-0.032020042128176815,0.45650967049692537,0.5782606291766974
"(0.0, 0.0666]",255,0.4823529411764706,0.032020042128176815,0.42173937082330254,0.5434903295030746
"(0.0666, 0.139]",254,0.5748031496062992,0.10376317931620954,0.5133343512795756,0.634042953236065
"(0.139, 0.234]",255,0.5294117647058824,0.18804207207767976,0.4681662933042735,0.5897842061517645
"(0.234, 0.358]",255,0.6470588235294118,0.29016899525052936,0.5866167082239683,0.7031357890562216
"(0.358, 1.074]",255,0.6588235294117647,0.49702999219956717,0.5986601392917676,0.7142725577708373
