feature,value,n,win_rate
inj_qb_out,0,2499,0.5126050420168067
inj_qb_out,1,205,0.3463414634146341
inj_ol_out,0,1829,0.5095680699835976
inj_ol_out,1,743,0.4939434724091521
inj_ol_out,2,122,0.4180327868852459
inj_cb_out,0,1926,0.5077881619937694
inj_cb_out,1,678,0.49262536873156343
inj_cb_out,2,96,0.3958333333333333
inj_edge_out,0,2363,0.501481168006771
inj_edge_out,1,316,0.4873417721518987
inj_edge_out,2,31,0.5161290322580645
inj_total_out,0,385,0.5584415584415584
inj_total_out,1,620,0.5241935483870968
inj_total_out,2,667,0.4962518740629685
inj_total_out,3,469,0.47761194029850745
inj_total_out,4,569,0.45694200351493847
qb_is_new_starter,0,2550,0.5003921568627451
qb_is_new_starter,1,160,0.49375
qb_changed_last_week,0,2445,0.5096114519427403
qb_changed_last_week,1,265,0.41132075471698115
qb_is_rookie,0,2429,0.5113215314944421
qb_is_rookie,1,281,0.40213523131672596
