bin,n,rate,center,lo,hi
"(-20.501, -8.125]",226,0.1504424778761062,-11.579646017699115,0.10969790929645057,0.20287213894546907
"(-8.125, -6.0]",277,0.26714801444043323,-6.850180505415162,0.21848534738829187,0.3221809926411055
"(-6.0, -4.0]",190,0.37894736842105264,-4.768421052631579,0.31300971647219844,0.4496831213912942
"(-4.0, -3.0]",338,0.3698224852071006,-3.2085798816568047,0.320087874188003,0.4224829539382403
"(-3.0, -2.5]",156,0.4358974358974359,-2.5,0.3605481182644886,0.5143280091016037
"(-2.5, 0.0]",168,0.47023809523809523,-1.3720238095238095,0.3962742953008555,0.5455325780057245
"(0.0, 2.5]",324,0.5462962962962963,1.9151234567901234,0.4918590689150539,0.599648537197166
"(2.5, 3.0]",197,0.6040609137055838,3.0,0.5344042914435674,0.6697366833345664
"(3.0, 4.0]",193,0.6476683937823834,3.634715025906736,0.5779898655337952,0.711583070268393
"(4.0, 6.0]",196,0.6683673469387755,5.336734693877551,0.599775217979304,0.7304863491818877
"(6.0, 8.125]",219,0.726027397260274,7.075342465753424,0.663443141664993,0.780818611975261
"(8.125, 20.5]",226,0.8495575221238938,11.579646017699115,0.7971278610545308,0.8903020907035494
