feature,off_3d_rate_r4,off_3d_rate_r8,off_red_zone_td_rate_r4,off_red_zone_td_rate_r8,off_yards_per_drive_r4,off_yards_per_drive_r8,off_plays_per_drive_r4,off_plays_per_drive_r8,off_explosive_play_rate_r4,off_explosive_play_rate_r8,off_penalty_yards_per_game_r4,off_penalty_yards_per_game_r8,def_3d_stop_rate_r4,def_3d_stop_rate_r8,def_red_zone_td_rate_allowed_r4,def_red_zone_td_rate_allowed_r8,def_explosive_play_rate_allowed_r4,def_explosive_play_rate_allowed_r8,def_penalty_yards_per_game_r4,def_penalty_yards_per_game_r8,off_turnover_rate_r4,off_turnover_rate_r8,def_takeaway_rate_r4,def_takeaway_rate_r8,turnover_margin_rate_r4,turnover_margin_rate_r8,st_epa_r4,st_epa_r8,off_avg_start_field_pos_r4,off_avg_start_field_pos_r8,qb_bad_throw_rate_r4,qb_bad_throw_rate_r8,qb_time_to_throw_r4,qb_time_to_throw_r8,off_drop_rate_r4,off_drop_rate_r8,def_broken_tackle_rate_allowed_r4,def_broken_tackle_rate_allowed_r8,roster_continuity_score,coach_tenure_weeks,coach_tenure_censored,division_familiarity,rush_matchup_z,pass_matchup_z,mobility_pressure_z
off_3d_rate_r4,1.0,0.7945241153812561,0.3612070720923318,0.32324718667833496,0.6499490610078761,0.5550520964348156,0.5411425989143261,0.4346241945052983,0.2715560035501479,0.26969205535143936,-0.1115856847830389,-0.0920905094427362,-0.04657534668351447,-0.05749820443146573,0.019150731520078665,0.003801592537737301,-0.05111682019765608,-0.13618078322242408,-0.005749655793129204,0.01714616945295966,-0.055309289162730785,-0.046955779288662444,0.11580010757124441,0.15880961484575173,0.11275978967544392,0.1359920968644184,0.02144322752801169,0.021103252374410762,-0.08527398409234331,-0.052488460535064826,-0.23918851791788165,-0.22108007918617265,0.05801566828837745,0.06729882435840608,-0.04608560810042881,-0.0008943558311160744,-0.09688149009970931,-0.11225654786561348,0.19846611898097855,0.12619197190853992,0.2190320047949872,0.006790767477401327,-0.0443335319082373,0.03171450599525623,0.04921555926646758
off_3d_rate_r8,0.7945241153812561,1.0,0.294482400394837,0.39107803447839296,0.6110128049528908,0.7225258753235388,0.462051027026839,0.5702900123399302,0.2535624242082151,0.3153747017652621,-0.08832114838909957,-0.12216044516663105,-0.03251099637838575,-0.06469166898758778,-0.04548159411983144,-0.0068968374324285715,-0.05169704560366442,-0.1446890911697164,0.010223997895408829,0.020550102264281465,-0.05379241612162095,-0.05559390052481787,0.14198696230136532,0.2076836327132435,0.12941123783400224,0.1742404523354097,0.013758202032543054,0.006974878718127739,-0.07598438296001722,-0.08685163418673669,-0.21523533170517734,-0.28413168497853597,0.08003219294320939,0.06928115997213928,-0.009386647563151839,-0.013878867106570868,-0.06341202464076492,-0.11980680191682822,0.23371591328833816,0.11889406512094187,0.2392409275110563,0.006991633761169712,-0.04624322816919258,0.031536279954868816,0.020008791660935724
off_red_zone_td_rate_r4,0.3612070720923318,0.294482400394837,1.0,0.7167541335289263,0.19168948791069235,0.2392560355454247,0.02447738502896373,0.09783448716964478,0.16693340045591495,0.18172963241154264,-0.08022975561757337,-0.10953075448755267,-0.09460404860773516,-0.06554426639549295,0.04964074948486161,0.050053153964556396,0.037223573182515145,-0.01589728838441952,0.008227440676055724,0.06038796595521637,-0.08594242703391712,-0.10400450139354724,0.0774888777245245,0.09743906052630336,0.10632489657513317,0.13005568320578648,-0.019824890542775808,-0.02903008601257917,-0.10249459620365622,-0.014415623065664435,-0.16011848381765129,-0.12300113770175236,-0.0028751873614591065,-0.010729567651202969,-0.08254134371656677,-0.054739644224279994,-0.026322616153648514,-0.059454746714913166,0.09862333637543629,0.0333195344192119,0.07858442208030988,-0.008909145791688883,-0.0007251648474784497,0.009366101970617746,-0.020632393793515523
off_red_zone_td_rate_r8,0.32324718667833496,0.39107803447839296,0.7167541335289263,1.0,0.28417546779474223,0.3475508535339148,0.1054491416730602,0.11169834840907944,0.20248006543783648,0.26183344396647723,-0.02185035777689165,-0.09206250372567638,-0.09491407256056536,-0.10847618840831483,0.029516849288583648,0.056557228520134374,0.01823807512717079,-0.01069910216791685,-0.0014871415777044617,0.052373014089843434,-0.059321558140184485,-0.12070607987467652,0.04489496158629349,0.07304113180142208,0.06761342182055319,0.12398948809590818,-0.036538603484061474,-0.04411576007117798,-0.11987619584471294,-0.09337975293711892,-0.1262186634216374,-0.15652945286150943,-0.009628086025321501,-0.013043709922857307,-0.07009742057272758,-0.09524900457268055,0.051149751742529885,0.012674660216341187,0.1488871513376552,0.016075373402001287,0.1237995471165673,-0.054923922848762546,0.005769981861771302,0.0005944642522006821,0.0063983829336567155
off_yards_per_drive_r4,0.6499490610078761,0.6110128049528908,0.19168948791069235,0.28417546779474223,1.0,0.8166724689288235,0.6888611287934786,0.5297338082436298,0.5380778130674257,0.4789056289778133,0.01642164746630854,-0.014680120806153657,-0.0762537776986491,-0.07098547329098787,0.04272867639706048,0.00827170871963454,0.045413259658404044,-0.052977014499572456,0.029305551415932326,0.06841407930512344,-0.1485199002632523,-0.15940832163323598,0.026010619922889725,0.10169152008938664,0.11118966513664177,0.16726510121080068,-0.07960426739203648,-0.03835913420523239,-0.06079697792253238,-0.017341087198698403,-0.2052135452122216,-0.18845568612162125,0.05929373118084577,0.03802464772209062,-0.07022762676107133,-0.02127186039917862,-0.10050322209009394,-0.13634262258781035,0.223157125442881,0.1476523989927954,0.17924114706007757,-0.0005848242200617537,-0.016124979966448943,0.03779018424789417,0.06087213248755345
off_yards_per_drive_r8,0.5550520964348156,0.7225258753235388,0.2392560355454247,0.3475508535339148,0.8166724689288235,1.0,0.5171676694046473,0.655418854760309,0.44531983824887644,0.5646929090022292,0.03279422132911537,0.019943075354280207,-0.04984839281571131,-0.09047032372715753,-0.011774833455980464,0.04466540309460624,-0.01197197023720562,-0.07636270021943035,0.032258510212876707,0.06193873150345236,-0.09990604165759945,-0.14060674625875774,0.08560105817636461,0.12467116598708922,0.12058915336799515,0.17107487733864613,-0.05861161529569033,-0.06532031166819158,-0.06465512563446345,-0.05210744886022104,-0.18326669498879533,-0.24474112981201882,0.07590219936555363,0.059340346763397514,-0.007726504627055466,-0.016171832712580377,-0.06612151294619337,-0.1318609856268105,0.25942455475346604,0.11982777815415091,0.2017761565445382,-0.012484896134473723,-0.02758440855225156,0.027297128384661657,0.03776140510925481
off_plays_per_drive_r4,0.5411425989143261,0.462051027026839,0.02447738502896373,0.1054491416730602,0.6888611287934786,0.5171676694046473,1.0,0.7584029086559013,-0.004937649609119839,0.005112143222095607,0.04383609978988124,0.02606963259092354,-0.13851344707989963,-0.11948856906170427,0.06954489012027495,0.0774624282324894,0.1428051434507913,0.07677394644217932,-0.01927685866105966,-0.013263541645264674,-0.061470895074787965,-0.018085744841719133,-0.09992189932043596,-0.06880772629868678,-0.028407581659215274,-0.035096755691798286,-0.09470457260208238,-0.058792095409498556,-0.10691936678891402,-0.062417197217322626,-0.11357135696673862,-0.09746066902159445,0.027105124167987594,0.03929375197844596,-0.027176656117451254,-0.019963430769951843,-0.02577821252221813,-0.03760851649155024,0.06269487496596192,0.060432073011484705,0.07560112442871919,-0.008053639694259073,0.013314147301780257,0.01993596833371607,0.05383374393758101
off_plays_per_drive_r8,0.4346241945052983,0.5702900123399302,0.09783448716964478,0.11169834840907944,0.5297338082436298,0.655418854760309,0.7584029086559013,1.0,-0.0433838424182736,-0.032324615727530134,0.054915918335872,0.050803936542909094,-0.11716291140674975,-0.1425906567835652,0.02769047377389572,0.10947648349629498,0.09763908557111783,0.0851994413915536,-0.001672238319181245,-0.01336810351481208,-0.04383900545219566,-0.018768488698894806,-0.03766527693738816,-0.06842258751564557,0.0023309067437117057,-0.03441428472470126,-0.1119415177114425,-0.11733803702477569,-0.1194011139662349,-0.11226508795889227,-0.1133180752640898,-0.1388878262078041,0.050031270079030764,0.04195767884515133,0.007630941913758972,-0.0023378128027901086,-0.0006834004584816615,-0.05435844788452337,0.05067691622662087,0.03866617822313429,0.08337466937468993,-0.0005682400060372719,-0.002801210205346938,0.03362895594665335,0.020806686881460576
off_explosive_play_rate_r4,0.2715560035501479,0.2535624242082151,0.16693340045591495,0.20248006543783648,0.5380778130674257,0.44531983824887644,-0.004937649609119839,-0.0433838424182736,1.0,0.8216111706838239,-0.061265663188951436,-0.05909443760774391,0.09025373580782445,0.06666223342753759,-0.028132551545677502,-0.05738921335693119,-0.04881341879266129,-0.09870099229121153,0.049841470641388136,0.1108854944975089,-0.17120664885776812,-0.22082961073340024,0.15080089220937337,0.21640007615364337,0.20941333556182634,0.2825441636296819,0.030680055030788588,0.0717965424600737,0.056767237766413445,0.10955551787713594,-0.03925529923610942,-0.04630870761310319,0.17810799282452455,0.1422921171481863,-0.10763170977874782,-0.05624974685828561,-0.1107456094090429,-0.1285767073298639,0.17342102287315134,0.1634704940102724,0.13528462904076877,0.008893361300766468,-0.008999672424553368,0.031200166527097152,0.013451467315695333
off_explosive_play_rate_r8,0.26969205535143936,0.3153747017652621,0.18172963241154264,0.26183344396647723,0.4789056289778133,0.5646929090022292,0.005112143222095607,-0.032324615727530134,0.8216111706838239,1.0,-0.03831370128625228,-0.049681249455098025,0.10395509340403183,0.09800084311478419,-0.08016308452063348,-0.08282871857073273,-0.07486373215445477,-0.11604461026920075,0.033027366862043404,0.10779368954997663,-0.14000045988199572,-0.21975300811875811,0.17239215426319981,0.24710005672153912,0.20424394276197788,0.3025384199797268,0.05710392477346132,0.095158712566593,0.030682411858093533,0.09354195464083025,-0.04796295436590043,-0.07144883634754573,0.1959921931127761,0.19977303013091607,-0.03557269110802314,-0.05469884592809959,-0.12156135371034082,-0.1527131410121009,0.22587610525989932,0.14758339882387744,0.1556503756148251,-0.008387087828900807,0.0016387740903534812,0.02892243440725186,0.006346276377036782
