feature,vif,vif_tier,cluster,resid_corr_abs,kept_as_representative,l1_selected,l1_vs_cluster_disagree
off_epa_play_r8,17.956273845065784,SEVERE,9,0.0023465987620577763,False,False,False
qb_epa_r8,13.741269761303803,SEVERE,9,0.01398153239038815,False,False,False
qb_epa_r4_diff,12.851123880554626,SEVERE,11,0.03409202318358228,True,True,False
off_epa_play_r4_diff,12.769143612174924,SEVERE,11,0.01394900379410094,False,False,False
qb_epa_r8_diff,7.817480541789719,HIGH,11,0.022712485541475695,False,False,False
def_epa_allowed_r4_diff,6.253731567000446,HIGH,16,0.054138218611640705,False,False,False
off_yards_per_drive_r8,6.103251368392698,HIGH,9,0.02208282768332684,True,True,False
off_points_per_drive_r4_diff,6.043781315104533,HIGH,11,0.011548375260030887,False,False,False
off_success_r4,5.993783568257932,HIGH,8,0.02073195340062691,True,True,False
qb_success_r4,5.975640194828355,HIGH,8,0.011901682286871967,False,False,False
def_points_per_drive_r4_diff,5.207565047606669,HIGH,16,0.06768327261144845,True,True,False
turnover_margin_rate_r8,4.364633645650806,MODERATE,5,0.023417288933480912,True,True,False
def_takeaway_rate_r8,3.710915350779292,MODERATE,4,0.019972869145181336,True,True,False
def_epa_allowed_r8,3.535027141419483,MODERATE,17,0.06144300862989575,True,True,False
team_spread,2.382855368126762,LOW,12,,True,True,False
def_success_allowed_r4,2.2448354733069755,LOW,18,0.03848274358133735,True,False,True
off_3d_rate_r8,2.192353249799382,LOW,10,0.02586617367287717,True,True,False
qb_cpoe_r4_diff,1.9171765432071735,LOW,13,0.03449510062205056,True,True,False
off_explosive_play_rate_r8,1.8220161425571584,LOW,6,0.00822339384734595,True,False,True
qb_sack_rate_r4,1.529463618270772,LOW,14,0.026278551516068734,True,True,False
off_pass_rate_r4,1.4771468193491937,LOW,7,0.02012547286223098,True,False,True
off_red_zone_td_rate_r8,1.4753887922472697,LOW,15,0.011417099636793552,True,False,True
def_explosive_play_rate_allowed_r8,1.4751208306820585,LOW,19,0.024876936786621236,True,True,False
inj_total_out,1.3375078469129023,LOW,1,0.01621669505892376,True,True,False
inj_ol_out,1.2624521416896892,LOW,2,0.004457661529993962,True,False,True
def_havoc_rate_r4_diff,1.255526198112773,LOW,21,0.05857524676020426,True,True,False
def_pressure_rate_r4_diff,1.248554904637599,LOW,20,0.009628137219999342,True,True,False
is_home,1.1704044788083459,LOW,22,0.0189590704277161,True,True,False
inj_qb_out,1.1227931067159977,LOW,3,0.012674182974236715,True,True,False
