features,model,role,holdout_auc,auc_ci_lo,auc_ci_hi,accuracy,brier,log_loss,ece,cv_val_auc,cv_train_auc,overfit_gap,params,benchmark,lift_vs_market,n_features
reduced(DEFAULT),LR,single,0.698233956509307,0.6536155511366615,0.7398207612785426,0.6494464944649446,0.2194202544896782,0.625779240099579,0.06216193177785232,0.7360416718270993,0.7308865539876047,-0.005155117839494627,"{'thresh__mode': 'binary', 'clf__C': 0.03, 'clf__l1_ratio': 0.5}",0.7187402132323906,-0.020506256723083593,22
reduced(DEFAULT),GBM,single,0.6963685135006332,0.6518230938160374,0.7393236229592363,0.6531365313653137,0.21994690803068773,0.629314948713019,0.06837490192696438,0.7207384452604191,0.771393431919355,0.050654986658935974,"{'clf__max_depth': 2, 'clf__learning_rate': 0.02, 'clf__min_samples_leaf': 80, 'clf__l2_regularization': 10.0, 'clf__max_features': 0.7}",0.7187402132323906,-0.022371699731757344,22
reduced(DEFAULT),RF,single,0.7047221579226863,0.6607993498675935,0.7457524578303589,0.6531365313653137,0.2186183773732947,0.6264150336889932,0.06245611452255472,0.72658323939179,0.7580387679035283,0.03145552851173827,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50, 'clf__max_features': 0.6, 'clf__max_samples': 0.7}",0.7187402132323906,-0.014018055309704236,22
reduced(DEFAULT),SimpleAvg,PRODUCTION,0.7007461772034693,0.6561815754615559,0.7424883000054479,0.6549815498154982,0.2187818608745063,0.6261007385194183,0.06912889782626704,,,,,0.7187402132323906,-0.017994036028921245,22
reduced(DEFAULT),Stacked,comparison-only,0.7002015223104261,0.6564711380075673,0.7416215076116098,0.6494464944649446,0.22457551197118725,0.6386284677990935,0.07803401433163193,,,,,0.7187402132323906,-0.018538690921964474,22
reduced(DEFAULT),MARKET (spread only),benchmark,0.7187402132323906,0.6755692960519187,0.7595028071405474,0.6531365313653137,0.212337323201454,0.6093980694216377,0.03482593457822057,,,,,0.7187402132323906,0.0,22
full(reference),LR,single,0.710788251793957,0.6661899035250959,0.7521240603586363,0.6549815498154982,0.21494322585713257,0.6161227285223176,0.06605921869637664,0.7335904053945482,0.7207895011525395,-0.012800904242008748,"{'thresh__mode': 'binary', 'clf__C': 0.03, 'clf__l1_ratio': 1.0}",0.7187402132323906,-0.007951961438433575,29
full(reference),GBM,single,0.6923857245952533,0.647794059443299,0.7348470694516349,0.6512915129151291,0.22097220880663032,0.6315230746221296,0.06569393348389524,0.7143108934810857,0.7692990925447715,0.054988199063685794,"{'clf__max_depth': 2, 'clf__learning_rate': 0.02, 'clf__min_samples_leaf': 40, 'clf__l2_regularization': 10.0, 'clf__max_features': 1.0}",0.7187402132323906,-0.026354488637137297,29
full(reference),RF,single,0.705811467708773,0.6616104541303106,0.7471099115898212,0.6531365313653137,0.21828081719255016,0.6256657546227079,0.06012976490497351,0.7187208870465142,0.7566876823663753,0.037966795319861135,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50, 'clf__max_features': 0.6, 'clf__max_samples': 0.7}",0.7187402132323906,-0.012928745523617557,29
full(reference),SimpleAvg,PRODUCTION,0.7056616876131862,0.6618826735482299,0.7474486840062888,0.6549815498154982,0.21751670876375548,0.6233760229818737,0.059983309004813544,,,,,0.7187402132323906,-0.013078525619204417,29
full(reference),Stacked,comparison-only,0.7082487983551422,0.6647511555156006,0.7496289891524364,0.6531365313653137,0.22178602167978123,0.6320410850220602,0.0817558356276175,,,,,0.7187402132323906,-0.010491414877248362,29
full(reference),MARKET (spread only),benchmark,0.7187402132323906,0.6755692960519187,0.7595028071405474,0.6531365313653137,0.212337323201454,0.6093980694216377,0.03482593457822057,,,,,0.7187402132323906,0.0,29
