model,feature,value,abs
LR,def_epa_allowed_r8,0.056588696251451,0.056588696251451
LR,def_explosive_play_rate_allowed_r8,0.0,0.0
LR,def_havoc_rate_r4_diff,0.015201132850699996,0.015201132850699996
LR,def_points_per_drive_r4_diff,0.09119274007382087,0.09119274007382087
LR,def_pressure_rate_r4_diff,0.01840874650847851,0.01840874650847851
LR,def_success_allowed_r4,0.0,0.0
LR,def_takeaway_rate_r8,0.024137061083225237,0.024137061083225237
LR,inj_ol_out,0.0,0.0
LR,inj_qb_out,-0.0021115252561973545,0.0021115252561973545
LR,inj_total_out,0.0,0.0
LR,is_home,0.0,0.0
LR,off_3d_rate_r8,-0.06178686907274355,0.06178686907274355
LR,off_explosive_play_rate_r8,-0.002493631926467601,0.002493631926467601
LR,off_pass_rate_r4,0.0,0.0
LR,off_red_zone_td_rate_r8,0.0,0.0
LR,off_success_r4,0.0,0.0
LR,off_yards_per_drive_r8,0.0,0.0
LR,qb_cpoe_r4_diff,0.0,0.0
LR,qb_epa_r4_diff,-0.038937753624324334,0.038937753624324334
LR,qb_sack_rate_r4,0.022531340271192583,0.022531340271192583
LR,team_spread,0.7154145373587414,0.7154145373587414
LR,turnover_margin_rate_r8,-0.04665720864903112,0.04665720864903112
LR,team_spread__gt,0.11697129589935162,0.11697129589935162
LR,qb_epa_r4_diff__gt,0.0,0.0
LR,qb_cpoe_r4_diff__gt,0.1203388736184995,0.1203388736184995
LR,off_yards_per_drive_r8__gt,0.07044989933233285,0.07044989933233285
LR,off_success_r4__gt,0.09388564922531582,0.09388564922531582
LR,off_3d_rate_r8__gt,0.0,0.0
LR,def_takeaway_rate_r8__gt,0.058321589910551835,0.058321589910551835
LR,off_explosive_play_rate_r8__gt,0.0,0.0
LR,def_pressure_rate_r4_diff__gt,0.0,0.0
LR,def_havoc_rate_r4_diff__gt,0.1480937198408948,0.1480937198408948
RF,def_epa_allowed_r8,0.017560393161413362,0.017560393161413362
RF,def_explosive_play_rate_allowed_r8,0.011671106790280224,0.011671106790280224
RF,def_havoc_rate_r4_diff,0.03431067248822711,0.03431067248822711
RF,def_points_per_drive_r4_diff,0.017915323556210776,0.017915323556210776
RF,def_pressure_rate_r4_diff,0.009835113690910446,0.009835113690910446
RF,def_success_allowed_r4,0.01298777535240072,0.01298777535240072
RF,def_takeaway_rate_r8,0.01612995601169436,0.01612995601169436
RF,inj_ol_out,0.0006936659568197102,0.0006936659568197102
RF,inj_qb_out,0.0005236826930257933,0.0005236826930257933
RF,inj_total_out,0.002128338207640556,0.002128338207640556
RF,is_home,0.0019254975798146505,0.0019254975798146505
RF,off_3d_rate_r8,0.012214120146830158,0.012214120146830158
RF,off_explosive_play_rate_r8,0.006747245088949225,0.006747245088949225
RF,off_pass_rate_r4,0.01166372277389832,0.01166372277389832
RF,off_red_zone_td_rate_r8,0.008548026700740253,0.008548026700740253
RF,off_success_r4,0.034945228890866153,0.034945228890866153
RF,off_yards_per_drive_r8,0.04685979910856954,0.04685979910856954
RF,qb_cpoe_r4_diff,0.046957763755209436,0.046957763755209436
RF,qb_epa_r4_diff,0.03885797940456912,0.03885797940456912
RF,qb_sack_rate_r4,0.010930329190365382,0.010930329190365382
RF,team_spread,0.6468195591093986,0.6468195591093986
RF,turnover_margin_rate_r8,0.009774700342166041,0.009774700342166041
