feature,mean_importance,std_importance,pct_in_top5,mean_rank
team_spread,0.5852652617546615,0.040722992136681214,100.0,1.0
qb_cpoe_r4_diff,0.051398271517626076,0.03125279398765263,73.6,4.54
off_yards_per_drive_r8,0.047849226279503776,0.019463242196024473,81.39999999999999,4.092
off_success_r4,0.03957818697152911,0.01462866847700411,74.0,4.714
def_havoc_rate_r4_diff,0.03904809335004599,0.02404333738839636,58.4,5.964
qb_epa_r4_diff,0.03837806255673307,0.01907210621018553,61.6,5.28
def_takeaway_rate_r8,0.020222866010335912,0.007939645204354966,14.799999999999999,9.592
def_points_per_drive_r4_diff,0.020016516964593487,0.007613829835699476,11.4,9.756
def_epa_allowed_r8,0.019005668908976363,0.005625225165547881,4.6,9.784
off_3d_rate_r8,0.016925402696054664,0.005977790655643541,4.3999999999999995,11.418
off_pass_rate_r4,0.015367334066702359,0.005676993950901603,3.0,12.28
qb_sack_rate_r4,0.015309728274060195,0.006426414611573705,2.8000000000000003,12.432
def_success_allowed_r4,0.015293632702691351,0.004898822035387218,1.4000000000000001,12.308
def_explosive_play_rate_allowed_r8,0.015140977087988259,0.005197101698378589,2.1999999999999997,12.328
def_pressure_rate_r4_diff,0.014934264867279485,0.007960780208434139,4.8,13.152
turnover_margin_rate_r8,0.014214787987716315,0.004757915085155472,0.4,13.066
off_red_zone_td_rate_r8,0.013084920993801081,0.005144030271003028,0.8,14.048
off_explosive_play_rate_r8,0.01110940517083034,0.0038587660969837765,0.4,15.552
inj_total_out,0.0042167054001113,0.0028711859912209023,0.0,19.034
is_home,0.0022703646361044503,0.001807374873089374,0.0,19.978
inj_ol_out,0.001053820690710389,0.0008359463913349782,0.0,20.894
inj_qb_out,0.00031650111194454577,0.0007559085268410689,0.0,21.788
